queried_at,raw_query,rewritten_query,query_type,year_min,year_max,geography,topics,retrieved_ark_ids,response,latency_ms,relevancy_score,faithfulness_score
2026-04-05T00:51:29.825729+00:00,What were some important historical events that happened in Boston in 1946?,important historical events in Boston in 1946,content_driven,1946,1946,Boston,historical events,,No relevant materials were found for your query. Try rephrasing or broadening your search.,4061,,
2026-04-05T00:55:59.230451+00:00,What were some important historical events that happened in Boston in 1946?,important historical events in Boston in 1946,content_driven,1946,1946,Boston,historical events,,No relevant materials were found for your query. Try rephrasing or broadening your search.,6386,,
2026-04-05T01:08:29.990822+00:00,What were some important historical events that happened in Boston in 1946?,important historical events in Boston in 1946,content_driven,1946,1946,Boston,historical events,,No relevant materials were found for your query. Try rephrasing or broadening your search.,3883,,
2026-04-05T01:15:56.077643+00:00,What were some important historical events that happened in Boston in 1946?,important historical events in Boston in 1946,content_driven,1946,1946,Boston,historical events,3n20bp56b|td96sv58z|mw232t719|w950cp070|kw52rx67x|nz80dm92x|7m01kc25p|3b598353k|np19b0509|zw135v697,"The retrieved documents from ""The Boston Traveler"" newspaper in June 1946 highlight significant local events and political activities in Boston during that time. Document 2 discusses the Democratic primaries, noting that former Lt.-Gov. Francis E. Kelly of Boston won the Democratic nomination, indicating a politically active period in the city. Document 3 describes the Cambridge centennial celebration, featuring maritime events on the Charles River with participation from Navy and Coast Guard units, reflecting a community-focused celebration in the Boston area. These events provide insight into the political and social landscape of Boston in 1946.",8157,,
2026-04-05T01:20:25.302796+00:00,Find photographs of Athens Greece from the 19th century,photographs of Athens Greece from the 19th century,metadata_driven,1800,1899,Athens|Greece,,,No relevant materials were found for your query. Try rephrasing or broadening your search.,3282,,
2026-04-05T01:53:15.150143+00:00,Find photographs of Athens Greece from the 19th century,photographs of Athens Greece from the 19th century,metadata_driven,1800,1899,Athens|Greece,,vd66w647r|gq67jz045|tq57nz26z|k930hm66x|fq979k96p|3r076j52p|7d279x53d|vh53x3801|4f16fk958|4q77fw06j,"The search did not retrieve any documents related to photographs of Athens, Greece, from the 19th century. The Digital Commonwealth archive may not currently hold such materials, or they may not be cataloged in a way that matched the search query. You might consider broadening your search terms or exploring other archives that specialize in international historical photographs.",5011,,
2026-04-05T01:53:54.127236+00:00,Find photographs of Athens Greece from the 19th century,photographs of Athens Greece from the 19th century,metadata_driven,1800,1899,Athens|Greece,,vd66w647r|gq67jz045|tq57nz26z|k930hm66x|fq979k96p|3r076j52p|7d279x53d|vh53x3801|4f16fk958|4q77fw06j,"The search did not retrieve any documents specifically related to photographs of Athens, Greece, from the 19th century. If you are looking for historical images of Athens from this period, you might consider broadening your search to include other archives or collections that focus on international historical photography. Additionally, exploring collections that specialize in travel photography or 19th-century European history might yield relevant results.",5174,,
2026-04-05T02:52:50.085941+00:00,Watercolor drawings,watercolor drawings,metadata_driven,,,,art|watercolor,hq383984s|rv049k11m|np19b0509|ws85j836s|pv63pq33s|zw135v697|kw52rx67x|c821q8953|9z909s29f|sj13hp692,"The search for ""watercolor drawings"" did not yield relevant results in the retrieved documents. Instead, the excerpts from The Boston Traveler newspaper from June 1946 primarily include advertisements and notices related to real estate, financial services, and household products, with no mention of watercolor drawings or related artistic content. If you are specifically looking for watercolor drawings, you might consider refining your search terms or exploring other sections of the Digital Commonwealth archive that focus on art collections or exhibitions.",11772,,
2026-04-05T02:58:23.178223+00:00,Justin H. Goodstein-Aue Collection photos,Justin H. Goodstein-Aue Collection photographs,metadata_driven,,,,,n296x886f|7m01kc25p|4168g730h|w950cp070|np19b0509|qv340k587|mw232t719|td96sv58z|63963x539|zw135v697,"The retrieved documents are excerpts from issues of ""The Boston Traveler"" newspaper from June 1946, held by the Boston Public Library. Unfortunately, these documents do not contain information or photographs related to the Justin H. Goodstein-Aue Collection. The excerpts focus on various local news stories, such as funeral announcements, economic updates, and legal proceedings, rather than photographic collections or archives. Therefore, they are not relevant to the user's query about the Justin H. Goodstein-Aue Collection photos.",4748,,
2026-04-05T04:38:12.736938+00:00,Watercolor drawings image,watercolor drawings,metadata_driven,,,,watercolor|drawings,w950cp070|4168g730h|nz80dm92x|7m01kc25p|n0103r608|td96sv58z|n2974q99c|zw135v697|3b598353k|rv049k11m,"The search for ""watercolor drawings image"" did not yield direct results related to watercolor drawings or images. Instead, the retrieved documents are excerpts from issues of ""The Boston Traveler"" newspaper from June 1946, which primarily contain advertisements and financial information. These documents do not appear to be relevant to the query about watercolor drawings. If you are looking for specific images or artworks, you might want to refine your search terms or explore other sections of the Digital Commonwealth archive that focus on visual arts collections.",7392,,
